\fixlen = T
|set|TIME        |PDCSAP_FLUX  |
|int|double      |double       |
 0   919.6782144  3.9838028e+05 
 0   919.6986483  3.9839472e+05 
 0   919.7190824  3.9837016e+05 
 0   919.7395162  3.9836069e+05 
 0   919.7599502  3.9837225e+05 
 0   919.7803842  3.9837009e+05 
 0   919.8008181  3.9832609e+05 
 0   919.8212520  3.9837503e+05 
 0   919.8416860  3.9835600e+05 
 0   919.8621200  3.9834322e+05 
 0   919.8825538  3.9837359e+05 
 0   919.9029878  3.9838219e+05 
 0   919.9234218  3.9834872e+05 
 0   919.9438558  3.9837019e+05 
 0   919.9642896  3.9836328e+05 
 0   919.9847236  3.9836909e+05 
 0   920.0051575  3.9832491e+05 
 0   920.0255915  3.9836850e+05 
 0   920.0460254  3.9836300e+05 
 0   920.0664593  3.9839753e+05 
 0   920.0868933  3.9835994e+05 
 0   920.1073272  3.9839116e+05 
 0   920.1277612  3.9840047e+05 
 0   920.1481951  3.9833625e+05 
 0   920.1686291  3.9839528e+05 
 0   920.1890630  3.9832944e+05 
 0   920.2094969  3.9836878e+05 
 0   920.2299309  3.9837547e+05 
 0   920.2503648  3.9832012e+05 
 0   920.2707987  3.9832778e+05 
 0   920.2912327  3.9838484e+05 
 0   920.3116667  3.9833197e+05 
 0   920.3321005  3.9836419e+05 
 0   920.3525345  3.9835350e+05 
 0   920.3729685  3.9833019e+05 
 0   920.3934023  3.9838225e+05 
 0   920.4138364  3.9838528e+05 
 0   920.4342703  3.9832891e+05 
 0   920.4547042  3.9836634e+05 
 0   920.4751382  3.9835641e+05 
 0   920.4955721  3.9833262e+05 
 0   920.5160061  3.9837366e+05 
 0   920.5364400  3.9835366e+05 
 0   920.5568739  3.9833681e+05 
 0   920.5773079  3.9837669e+05 
 0   920.5977418  3.9834466e+05 
 0   920.6181757  3.9833666e+05 
 0   920.6386097  3.9833712e+05 
 0   920.6590436  3.9831697e+05 
 0   920.6794775  3.9836906e+05 
 0   920.6999115  3.9836666e+05 
 0   920.7203453  3.9833953e+05 
 0   920.7407794  3.9688850e+05 
 0   920.7612133  3.9299800e+05 
 0   920.7816471  3.9308362e+05 
 0   920.8020812  3.9687612e+05 
 0   920.8225150  3.9832075e+05 
 0   920.8429489  3.9837206e+05 
 0   920.8633830  3.9835131e+05 
 0   920.9042507  3.9837047e+05 
 0   920.9246848  3.9838144e+05 
 0   920.9451187  3.9837012e+05 
 0   920.9655526  3.9837803e+05 
 0   920.9859865  3.9838644e+05 
 0   921.0064205  3.9837334e+05 
 0   921.0268545  3.9839375e+05 
 0   921.0472883  3.9833688e+05 
 0   921.0677223  3.9839662e+05 
 0   921.0881563  3.9834738e+05 
