\fixlen = T
|set|TIME        |PDCSAP_FLUX  |
|int|double      |double       |
 0   970.4923750  3.9745047e+05 
 0   970.4930562  3.9741747e+05 
 0   970.4937373  3.9729969e+05 
 0   970.4944184  3.9736612e+05 
 0   970.4950994  3.9750578e+05 
 0   970.4957806  3.9743469e+05 
 0   970.4964617  3.9718744e+05 
 0   970.4971429  3.9739200e+05 
 0   970.4978239  3.9740212e+05 
 0   970.4985050  3.9738388e+05 
 0   970.4991862  3.9735219e+05 
 0   970.4998673  3.9736634e+05 
 0   970.5005483  3.9741562e+05 
 0   970.5012295  3.9737359e+05 
 0   970.5019106  3.9746244e+05 
 0   970.5025917  3.9749009e+05 
 0   970.5032729  3.9740519e+05 
 0   970.5039540  3.9743028e+05 
 0   970.5046351  3.9738178e+05 
 0   970.5053163  3.9739806e+05 
 0   970.5059974  3.9734078e+05 
 0   970.5066784  3.9744056e+05 
 0   970.5073596  3.9743975e+05 
 0   970.5080407  3.9743997e+05 
 0   970.5087218  3.9741734e+05 
 0   970.5094028  3.9737206e+05 
 0   970.5100840  3.9741094e+05 
 0   970.5107651  3.9757522e+05 
 0   970.5114462  3.9735566e+05 
 0   970.5121273  3.9722628e+05 
 0   970.5128084  3.9732788e+05 
 0   970.5134895  3.9735822e+05 
 0   970.5141707  3.9738247e+05 
 0   970.5148518  3.9731706e+05 
 0   970.5155329  3.9723684e+05 
 0   970.5162141  3.9738222e+05 
 0   970.5168952  3.9745938e+05 
 0   970.5175762  3.9734900e+05 
 0   970.5182573  3.9744288e+05 
 0   970.5189385  3.9752562e+05 
 0   970.5196196  3.9738172e+05 
 0   970.5203006  3.9724984e+05 
 0   970.5209818  3.9737919e+05 
 0   970.5216629  3.9747916e+05 
 0   970.5223441  3.9737103e+05 
 0   970.5230251  3.9738925e+05 
 0   970.5237062  3.9723562e+05 
 0   970.5243873  3.9744478e+05 
 0   970.5250685  3.9722053e+05 
 0   970.5257496  3.9743722e+05 
 0   970.5264308  3.9733116e+05 
 0   970.5271119  3.9726488e+05 
 0   970.5277930  3.9740131e+05 
 0   970.5284742  3.9735897e+05 
 0   970.5291552  3.9732647e+05 
 0   970.5298363  3.9728409e+05 
 0   970.5305175  3.9728859e+05 
 0   970.5311986  3.9716097e+05 
 0   970.5318796  3.9756422e+05 
 0   970.5325608  3.9737216e+05 
 0   970.5332419  3.9730528e+05 
 0   970.5339230  3.9723362e+05 
 0   970.5346041  3.9749609e+05 
 0   970.5352852  3.9727675e+05 
 0   970.5359663  3.9745919e+05 
 0   970.5366474  3.9718956e+05 
 0   970.5373286  3.9729525e+05 
 0   970.5380097  3.9740253e+05 
 0   970.5386908  3.9725778e+05 
 0   970.5393720  3.9723838e+05 
 0   970.5400530  3.9751072e+05 
 0   970.5407341  3.9737647e+05 
 0   970.5414152  3.9733469e+05 
 0   970.5420964  3.9737012e+05 
 0   970.5427774  3.9750359e+05 
 0   970.5434585  3.9723397e+05 
 0   970.5441397  3.9731372e+05 
 0   970.5448208  3.9741500e+05 
 0   970.5455018  3.9740288e+05 
 0   970.5461830  3.9722256e+05 
 0   970.5468641  3.9742753e+05 
 0   970.5475452  3.9732862e+05 
 0   970.5482264  3.9753819e+05 
 0   970.5489075  3.9746147e+05 
 0   970.5495887  3.9741056e+05 
 0   970.5502698  3.9744519e+05 
 0   970.5509509  3.9748744e+05 
 0   970.5516319  3.9728084e+05 
 0   970.5523131  3.9734903e+05 
 0   970.5529942  3.9731403e+05 
 0   970.5536753  3.9743659e+05 
 0   970.5543564  3.9731275e+05 
 0   970.5550375  3.9745409e+05 
 0   970.5557187  3.9741531e+05 
 0   970.5563998  3.9744631e+05 
 0   970.5570808  3.9730012e+05 
 0   970.5577619  3.9738222e+05 
 0   970.5584431  3.9733859e+05 
 0   970.5591242  3.9736022e+05 
 0   970.5598054  3.9737425e+05 
 0   970.5604865  3.9736391e+05 
 0   970.5611676  3.9741541e+05 
 0   970.5618487  3.9728022e+05 
 0   970.5625298  3.9741062e+05 
 0   970.5632109  3.9754572e+05 
 0   970.5638920  3.9727916e+05 
 0   970.5645732  3.9736247e+05 
 0   970.5652542  3.9732338e+05 
 0   970.5659353  3.9727309e+05 
 0   970.5666165  3.9747294e+05 
 0   970.5672976  3.9739644e+05 
 0   970.5679786  3.9736716e+05 
 0   970.5686597  3.9730303e+05 
 0   970.5693409  3.9749175e+05 
 0   970.5700220  3.9749400e+05 
 0   970.5707031  3.9736241e+05 
 0   970.5713843  3.9722681e+05 
 0   970.5720654  3.9747919e+05 
